,label,tweet,tweets_length,cleaned_tweets,label_code
373,sadness,"ini kakinya diapain sih harusnya ya ampun sakit banget nyeri. orang rumah udah pada jengah kali ya, aku aduh-aduh mulu gara2 serangan mendadak di kaki",26,ini kaki diapain sih harus ya ampun sakit banget nyeri orang rumah udah pada jengah kali ya aku aduh aduh mulu gara2 serang dadak di kaki,2
374,sadness,Hampir 7 taun di jogja. Skrng lagi packing perasaan kemarin udah di cicil di bawa pulang. Tapi tetep masih aja berasa banyak. Padahal bajunya itu2 aja.,26,hampir 7 taun di jogja skrng lagi packing asa kemarin udah di cicil di bawa pulang tapi tetep masih aja asa banyak padahal baju itu2 aja,2
375,happy,Senyum2 sendiri baca #OldMoneyGakNgerasain karna emg gw ngalamain yg rata2 di twit haha kaya di suruh beli minyak tanah ke warung terus dirigenya ditendang2 pake dengkul kaki,27,senyum2 sendiri baca oldmoneygakngerasain karna emg gw ngalamain yg rata2 di twit haha kaya di suruh beli minyak tanah ke warung terus dirigenya ditendang2 pake dengkul kaki,1
376,anger,Loe mau ngatain gw bencong apa lah terserah loe yg pasti gw gak merasa gw bencong loe lupa yg udah ngewe sama gw Giliran gw gak ngeladenin loe lagi loe bilang bencong Ehmmmm kasian bgt hidup loe ,37,loe mau ngatain gw bencong apa lah serah loe yg pasti gw gak rasa gw bencong loe lupa yg udah ngewe sama gw gilir gw gak ngeladenin loe lagi loe bilang bencong ehmmmm kasi bgt hidup loe,0
377,happy,"Kagum sih sama dia. She's younger than me, badannya kecil kek anak smp sekarang mimpin satu cabang besar isi 80 orang dan cabangnya one of the best di region banten",31,kagum sih sama dia she s younger than me badan kecil kek anak smp sekarang mimpin satu cabang besar isi 80 orang dan cabang one of the best di region banten,1
378,anger,"Mau cerita Jadi td sebelum magrib sempet keluar rumah buat nganterin adek bukber, nah di jalan pulang ketemulah sama cewe cewe berkerudung tapi rambutnya keliatan dibelakangnya:) Mereka bonceng 3:) Dan jalannya ditengah:) Padahal jalanan rame:) Eh Disalip ketiganya ngomel :(",39,mau cerita jadi td belum magrib sempet keluar rumah buat nganterin adek bukber nah di jalan pulang ketemu sama cewe cewe kerudung tapi rambut liat belakang mereka bonceng 3 dan jalan tengah padahal jalan rame eh salip tiga ngomel,0
379,anger,"DPRRI pemegang amanah rakyat tetapi selalu membalikan telapak tangan, Dewan yg membuat aturan dan Dewan pula yg melanggar aturan, segelintir Dewan mencoreng amanah rakyat dgn melakukan korupsi, jls bersalah dan selalu berkelit menutupi kesalahan dgn bersandiwara",36,dprri pegang amanah rakyat tetapi selalu balik telapak tangan dewan yg buat atur dan dewan pula yg langgar atur gelintir dewan coreng amanah rakyat dgn laku korupsi jls salah dan selalu kelit tutup salah dgn sandiwara,0
380,anger,"Tidak usah menyalahkan siapa-siapa, segala keburukan yang menimpa anda adalah karena kebodohan dan kesalahan anda sendiri. Dan ini bukan penghinaan, tapi peringatan keras agar kedepan bisa lebih cerdas, jadilah",30,tidak usah salah siapa siapa segala keburu yang timpa anda adalah karena bodoh dan salah anda sendiri dan ini bukan hina tapi ingat keras agar depan bisa lebih cerdas jadi,0
381,sadness,"[USERNAME] [USERNAME] salah satunya krna terutama pejabat negeri ini suka mencari cari kesalahan / kelemahan pejabat lainnya, bukan sama sama cari solusi bgmn bangsa ini bisa maju dan berkarya..",28,username username salah satu krna utama jabat negeri ini suka cari cari salah lemah jabat lain bukan sama sama cari solusi bgmn bangsa ini bisa maju dan karya,2
382,anger,"Ya congoni ma,hidup satu kosan ada yguda tua nenek, banyak bersabar banyak ucap doa ajalah ya, karna makin tua makin buat emosi ternyata pemirsyahhhh",25,ya congoni ma hidup satu kosan ada yguda tua nenek banyak sabar banyak ucap doa aja ya karna makin tua makin buat emosi nyata pemirsyahhhh,0
383,sadness,"Udah abis tuh bpk kuomelin, Ya Allah pak bpk yakin ga jemput saya nih cm krn feeling aja, percaya tuh sm Allah paak.. blablablaa. Tp bapanya bersikukuh. Lalu tinggallah daku sendiri tiada yg menemani di kosan segede itu. ",38,udah abis tuh bpk kuomelin ya allah pak bpk yakin ga jemput saya nih cm krn feeling aja percaya tuh sm allah paak blablablaa tp bapa bersikukuh lalu tinggal daku sendiri tiada yg tani di kosan gede itu,2
384,anger,"Ini pertemuan diundur lagi, kemungkinan besar bebas visa diundur lagi. Emang sih ini negara PHP tingkat tinggi. [USERNAME] [USERNAME] [USERNAME] [USERNAME]",21,ini temu undur lagi mungkin besar bebas visa undur lagi emang sih ini negara php tingkat tinggi username username username username,0
385,sadness,"Gabisa tidur! Males bongkarin, tidur pake jeans, berharap segera pagi. Pagi tiba, lgsg naik bus pertama yg lewat depan kos. dengan koper2ku. Sampe Malang dg kudu nangis. Takkusangka ada travel agent yg sedemikian busyuuk.",34,gabisa tidur males bongkarin tidur pake jeans harap segera pagi pagi tiba lgsg naik bus pertama yg lewat depan kos dengan koper2ku sampe malang dg kudu nang takkusangka ada travel agent yg demikian busyuuk,2
386,sadness,hati kecil ini selalu berkata jujur. dan selalu membuat penyesalan setelah apa yang dilakukan itu salah. selalau mengingat bagai mana cara keluar dari zona yang kelam menuju kebenaran. hidup ituh pilihan ! berlaku baik atau pudar ketulusan.,36,hati kecil ini selalu kata jujur dan selalu buat sesal telah apa yang laku itu salah lalau ingat bagai mana cara keluar dari zona yang kelam tuju benar hidup ituh pilih laku baik atau pudar tulus,2
387,happy,Dapet driver [USERNAME] orang Batak marga Tampubolon (nama depan disembunyikan) yang seumuran. Udah deh di jalan ngobrol ketawa-ketawa serasa lagi ngobrol sama sepupu sendiri. Halak hita dang adong matinya! Mauliate godang lae hu! Horas! ,35,dapet driver username orang batak marga tampubolon nama depan sembunyi yang umur udah deh di jalan ngobrol ketawa ketawa serasa lagi ngobrol sama sepupu sendiri halak hita dang adong mati mauliate godang lae hu horas,1
388,sadness,"Dari siang sampe sekarang perut udah gak karuan, susah ngejelasin gimana sakitnya karna emg beda bgt sama hamil yg pertama, bukan ngerasain perut kenceng atau kontraksi atau keram lainnya, tapi lebih ke mual dan di kocok2 ke level yang lebih parah ",41,dari siang sampe sekarang perut udah gak karuan susah ngejelasin gimana sakit karna emg beda bgt sama hamil yg pertama bukan ngerasain perut kenceng atau kontraksi atau keram lain tapi lebih ke mual dan di kocok2 ke level yang lebih parah,2
389,sadness,kadang pulang cerita ke anak isteri abis nonton konser a b c dan gratis krn sembari kerja. tapi... tiap anaknya nanya konser ina itu kelewatan. sedih. #yha.,27,kadang pulang cerita ke anak isteri abis nonton konser a b c dan gratis krn sembari kerja tapi tiap anak nanya konser ina itu lewat sedih yha,2
390,anger,"Baguslah! Itu namanya sadar diri. Mana mungkin tersangka kasus cabul bisa jadi pemimpin umat?! Btw, kasus [USERNAME] gimana? Terus cerita ente ame nyang 'ntu gimane? [URL]",26,bagus itu nama sadar diri mana mungkin sangka kasus cabul bisa jadi pimpin umat btw kasus username gimana terus cerita ente ame nyang ntu gimane url,0
391,anger,Anis bilang Prabowo didukung mafia asal mangap apa fakta?? sok nyolot kunyuk [USERNAME] satu ini nggak ada sopan santunnya sama pemimpin,21,anis bilang prabowo dukung mafia asal mangap apa fakta sok nyolot kunyuk username satu ini nggak ada sopan santun sama pimpin,0
392,sadness,Aku tidak mampu... Mencegah hatiku untuk tidak terus merindukanmu.. Meski aku sadar bahwa rasa rindu ini hanya akan membuatku bertambah sakit.,21,aku tidak mampu cegah hati untuk tidak terus rindu meski aku sadar bahwa rasa rindu ini hanya akan buat tambah sakit,2
393,happy,"Terima kasih udah bekerja keras kasih kita (army) musik yang berkualitas, musik yang keren, musik yang inspiratif, musik yang menyembuhkan. Sehat selalu & terus berkarya. We love u RM",28,terima kasih udah kerja keras kasih kita army musik yang kualitas musik yang keren musik yang inspiratif musik yang sembuh sehat selalu terus karya we love u rm,1
394,happy,"abis sahur, sembahyang subuh balek tidur lagi, bangun jam 6.30 dan sampe ruangan jam 7 kurang 5 menit, sptinya saya harus mengapresiasi diri sendiri krn dpet mandi, seragaman, pake bedak sm gincu dan berjalan dlm waktu 50 menit ",39,abis sahur sembahyang subuh balek tidur lagi bangun jam 6 30 dan sampe ruang jam 7 kurang 5 menit sptinya saya harus apresiasi diri sendiri krn dpet mandi seragam pake bedak sm gincu dan jalan dlm waktu 50 menit,1
395,anger,"Kalau boleh jujur, sampe sekarang gue masih belom sepenuhnya menerima perilaku ga sopan orang ini yg berusaha keluar masuk hubungan kita dulu. Karena gue ngerasa ga adil aja. Gue ga pernah ngerusak hubungan orang. Sampe sekarang kalau gue inget caranya masuk, gue ga habis pikir.",45,kalau boleh jujur sampe sekarang gue masih bom sepenuh terima perilaku ga sopan orang ini yg usaha keluar masuk hubung kita dulu karena gue ngerasa ga adil aja gue ga pernah ngerusak hubung orang sampe sekarang kalau gue inget cara masuk gue ga habis pikir,0
396,happy,"abis sahur, sembahyang subuh balek tidur lagi, bangun jam 6.30 dan sampe ruangan jam 7 kurang 5 menit, sptinya saya harus mengapresiasi diri sendiri krn dpet mandi, seragaman, pake bedak sm gincu dan berjalan dlm waktu 25 menit ",39,abis sahur sembahyang subuh balek tidur lagi bangun jam 6 30 dan sampe ruang jam 7 kurang 5 menit sptinya saya harus apresiasi diri sendiri krn dpet mandi seragam pake bedak sm gincu dan jalan dlm waktu 25 menit,1
397,anger,"Total duit diorang hampir mau 600 jt. yang ngutang pada punya otak ga yahhh...ditagih pura2 mati, ada yang mati duluan, anaknya ngemis2 bingung ngembaliin nya udh gitu dia masih kuliah. ditagih nunggu dia kuliah, terus kerja, nyampe gue punya cucu tu utang baru kelar mungkin tong",47,total duit orang hampir mau 600 jt yang ngutang pada punya otak ga yahhh tagih pura2 mati ada yang mati duluan anak ngemis2 bingung ngembaliin nya udh gitu dia masih kuliah tagih nunggu dia kuliah terus kerja nyampe gue punya cucu tu utang baru kelar mungkin tong,0
398,anger,[USERNAME] [USERNAME] gimane?gk berani komen kan?ngomong kek paling pancasila.. Mau tanya waktu ngomong saya pancasila kalian g lagi mabuk kan?ato ngomong sambil liat teks?anak muda optimis?hek.. anak muda yg kehilangan urat malu iye kali.. :) https:/,40,username username gimane gk berani komen kan ngomong kek paling pancasila mau tanya waktu ngomong saya pancasila kalian g lagi mabuk kan ato ngomong sambil liat teks anak muda optimis hek anak muda yg hilang urat malu iye kali https,0
399,fear,sedihnya tuh ketika sedang seperti ini ga ada 'tempat sampah' jadinya nyampah aja di twitter maaf ya followerku :( btw aku bingung deh tadi nimbang 43.6 trus pup 2x abis itu turun lagi jadi 42 ini timbangannya yg labil apa gimana????,41,sedih tuh ketika sedang seperti ini ga ada tempat sampah jadi nyampah aja di twitter maaf ya followerku btw aku bingung deh tadi nimbang 43 6 trus pup 2x abis itu turun lagi jadi 42 ini timbang yg labil apa gimana,4
400,anger,"Nah lho.. Yg digadang2 bakal benerin dan majuin daerahnya,malah pesen barang aja ke luar negeri Pdhl hasil kerajinan penduduk lokal aja byk yg bagus Ga habis pikir deh gw Giliran gini aja kalian g koar2,,klo toko sebelah polah dikit aja ""pedes"" tuh mulut klo diem aja",48,nah lho yg digadang2 bakal benerin dan majuin daerah malah sen barang aja ke luar negeri pdhl hasil rajin duduk lokal aja byk yg bagus ga habis pikir deh gw gilir gin aja kalian g koar2 klo toko belah polah dikit aja pedes tuh mulut klo diem aja,0
401,anger,"Rakyat indonesia sdh cukup menderita oleh ulah para koruptor yg kebal hukum, jgn bahagia di atas penderitaan rakyat, indonesia punya penjajah yg terparah yaitu koruptor, rakyat bekerja keras membanting tulang, koruptor yg menikmatinya",33,rakyat indonesia sdh cukup derita oleh ulah para koruptor yg kebal hukum jgn bahagia di atas derita rakyat indonesia punya jajah yg parah yaitu koruptor rakyat kerja keras banting tulang koruptor yg nikmat,0
402,love,"Aku hanyalah ciptaan tuhan, bukan superhero apalagi malaikat. Aku hanya bisa melakukan apa yang aku lakukan dek. Itulah aku, anak nomor tiga yang murah hati, dan aku mohon semoga kamu cepat tau dek ",33,aku hanya cipta tuhan bukan superhero apalagi malaikat aku hanya bisa laku apa yang aku laku dek itu aku anak nomor tiga yang murah hati dan aku mohon moga kamu cepat tau dek,3
403,fear,Suami gak dukung lahiran normal. Dari awal nyuruh sesar ajaa. Takut akunya gak kuat ngelahirin 2 anak. Aku jadi takut juga bawaannya. Tp kalo denger testi orang yg sc gak ada yg bilang lebih enak dari normal ,37,suami gak dukung lahir normal dari awal nyuruh sesar ajaa takut aku gak kuat ngelahirin 2 anak aku jadi takut juga bawa tp kalo denger testi orang yg sc gak ada yg bilang lebih enak dari normal,4
404,sadness,"Terkejut diri ini kan. Lalu perut ku kruyukan, akhirnya ku putuskan utk searching dimane foodcourt nya. Eh pas searching, no signal breh. Tri ku di thamrin dan tanabang tidak berfungsi samsek.",31,kejut diri ini kan lalu perut ku kruyukan akhir ku putus utk searching dimane foodcourt nya eh pas searching no signal breh tri ku di thamrin dan tanabang tidak fungsi samsek,2
405,sadness,"Kesalahan malam ini, tadi masak indomi sebungkus lalu merasa itu terlalu dikit dan masak satu bungkus lagi. Terus sekarang.. enek sendiri liatnya. Susah amat menahan napsu duniawi",27,salah malam ini tadi masak indomi bungkus lalu rasa itu terlalu dikit dan masak satu bungkus lagi terus sekarang enek sendiri liat susah amat tahan napsu duniawi,2
406,happy,"Empat tahun lalu, ketika orang-orang hepi karena keterima kerja/sekolah lagi, gue hepi karena nama gue nongol di daftar ini :') #WorkshopCerpenKompas2014 #TSYGMC Foto: [USERNAME] [URL]",26,empat tahun lalu ketika orang orang hepi karena terima kerja sekolah lagi gue hepi karena nama gue nongol di daftar ini workshopcerpenkompas2014 tsygmc foto username url,1
407,love,"Aku hanyalah ciptaan tuhan, bukan superhero apalagi malaikat. Aku hanya bisa melakukan apa yang aku lakukan dek. Itulah aku, anak nomor tiga yang murah hati, dan aku mohon semoga kamu cepat tau dek  #menjauhdarijanji?",34,aku hanya cipta tuhan bukan superhero apalagi malaikat aku hanya bisa laku apa yang aku laku dek itu aku anak nomor tiga yang murah hati dan aku mohon moga kamu cepat tau dek menjauhdarijanji,3
408,anger,"Gue ga ikhlas kalau lo masuk dan muncul lagi di kehidupan gue. Jadi jangan muncul lagi, karena sakit hati gue berasa lagi di setiap kemunculan lo. Apapun alasannya. Jangan ganggu kita lagi.",32,gue ga ikhlas kalau lo masuk dan muncul lagi di hidup gue jadi jangan muncul lagi karena sakit hati gue asa lagi di tiap muncul lo apa alas jangan ganggu kita lagi,0
409,happy,Makan nasi padang di Senen. Kemudian nonton live music di taman suropati sampe malem dan ngobrol ttg semuanya sampe bisik2 ditelinga hehe. Baliknya naik transj dan ngobrol lg then he walk me home. Literally walk and talk. (Sayangnya best date with cowo yg kurang tepat hehe) [URL],47,makan nasi padang di senen kemudian nonton live music di taman suropati sampe malem dan ngobrol ttg semua sampe bisik2 telinga hehe balik naik transj dan ngobrol lg then he walk me home literally walk and talk sayang best date with cowo yg kurang tepat hehe url,1
410,sadness,"[USERNAME] Cibiru entah kenapa gtu, daya tariknya kenceng banget skrg. Lagi sayang-sayangnya gtu. Tapi apa daya, bentar lagi mau gak mau harus siap ninggalin -_-",25,username cibiru entah kenapa gtu daya tarik kenceng banget skrg lagi sayang sayang gtu tapi apa daya bentar lagi mau gak mau harus siap ninggalin,2
411,happy,"Waktu itu kami bertiga puluh, dipilih dari sekitar 300 orang yang mendaftar. Ya gimana ga berasa bangga  Workshop kami diajar oleh Fajar Arcana, Agus Noor, dan Semo Gumira Ajidarma. #WorkshopCerpenKompas2015 #TSYGMC Foto: (masih) [USERNAME] [URL]",35,waktu itu kami tiga puluh pilih dari sekitar 300 orang yang daftar ya gimana ga asa bangga workshop kami ajar oleh fajar arcana agus noor dan semo gumira ajidarma workshopcerpenkompas2015 tsygmc foto masih username url,1
412,fear,"Mengistirhatkan badan itu penting, tapi saat hendak istirahat teringat akan tugas yang tak kunjung kelar, akhirnya bangun duduk depan laptop dengerin radio, tinggal nulis nya aja mikir kemana-mana, ya begitulah",31,mengistirhatkan badan itu penting tapi saat hendak istirahat ingat akan tugas yang tak kunjung kelar akhir bangun duduk depan laptop dengerin radio tinggal nulis nya aja mikir mana mana ya begitu,4
413,sadness,"WesTerima kenyataan mbah, anak lanange lebih kelihatan muda menawan, tegap dan gagah, ketimbang suaminya Cemburuuuuu Suami merasa anak lanange lebih sering dibanggakan dari pada suamine dewe ",26,westerima nyata mbah anak lanange lebih lihat muda tawan tegap dan gagah ketimbang suami cemburuuuuu suami rasa anak lanange lebih sering bangga dari pada suamine dewe,2
414,sadness,"Pernah gak kalian ngerasain dulu kalian pernah amat sangat menginginkan sesuatu dan berjuang mati2an buat dapetinnya. Tapi suatu saat kalian berhadapan sangat dekat dgn hal tersebut dan tatap dalam2 lalu terlintas pikiran... ""wait, kayaknya sekarang aku udah gak mau ini lagi deh""",42,pernah gak kalian ngerasain dulu kalian pernah amat sangat ingin sesuatu dan juang mati2an buat dapetinnya tapi suatu saat kalian hadap sangat dekat dgn hal sebut dan tatap dalam2 lalu lintas pikir wait kayak sekarang aku udah gak mau ini lagi deh,2
415,fear,alergi apa coba??? Kok jd bintik-bintik gini. Kata uda karena makan ikan tuna. Apa karena cuaca yg terlalu panas kali yaa uucchhh tersiksa kena garukan,26,alergi apa coba kok jd bintik bintik gin kata uda karena makan ikan tuna apa karena cuaca yg terlalu panas kali yaa uucchhh siksa kena garu,4
416,anger,"Nah trs ai bakil pan, pesen gojek. Ebuset, no signal. Sekalinya ada, dpt driver nih, marah2 ora jelas. Udh kakek2 emang, tp ya annoying aja beliau itu. Ingin berkata kasar, tp diriku lg penuh dosa. Jd ku tahan.",38,nah trs ai bakil pan sen gojek ebuset no signal sekali ada dpt driver nih marah2 ora jelas udh kakek2 emang tp ya annoying aja beliau itu ingin kata kasar tp diri lg penuh dosa jd ku tahan,0
417,anger,"Haha kasihan juga kpd akun ini.Belum sembuh juga sakit dendamnya.Sepnjang hari,kerjanya usilin Anies.Dikiranya Anies aware.EGP.Pdhl konco2nya sdh bnyk yg insaf.Yg ini,belum.Tunggu struk. [URL]",32,haha kasihan juga kpd akun ini belum sembuh juga sakit dendam sepnjang hari kerja usilin anies kira anies aware egp pdhl konco2nya sdh bnyk yg insaf yg ini belum tunggu struk url,0
418,anger,"[USERNAME] Sy sudah menghubungi halo bca 1500888 dan tekan 1, 1, dan 0. Saya sdh melakukan itu sampai 10X sampai pulsa sy habis. Dan jawaban nya selalu maaf operator kami sedang sibuk. Gimana mau cek status sy",37,username sy sudah hubung halo bca 1500888 dan tekan 1 1 dan 0 saya sdh laku itu sampai 10x sampai pulsa sy habis dan jawab nya selalu maaf operator kami sedang sibuk gimana mau cek status sy,0
419,sadness,"tadi ke raacha karna bm tomyam nya, tbtb mas2nya yg nyiapin meja bilang ""kok mukanya kaya ga asing?! sering kesini ya"" wkwkwk mas nya tau aja :(",26,tadi ke raacha karna bm tomyam nya tbtb mas2nya yg nyiapin meja bilang kok muka kaya ga asing sering kesini ya wkwkwk mas nya tau aja,2
420,anger,rada' ksel juga ya stiap mau expo pasti h-1 yg dpnya klo gt mah boro' mau brangkat psen tiket aja mals . atau nggak yg gni * udahh d malang beb aku isi ya dp skrg * rasanya pngen gw jotosin palanya .,40,rada ksel juga ya stiap mau expo pasti h 1 yg dpnya klo gt mah boro mau brangkat psen tiket aja mals atau nggak yg gni udahh d malang beb aku isi ya dp skrg rasa pngen gw jotosin pala,0
421,sadness,Lost 3kg in a month gara2 kerjaan yang cukup bikin stres. Padahal dari zaman kuda susah banget nurunin sekilo doang. Daku tersenyum perih [URL],24,lost 3kg in a month gara2 kerja yang cukup bikin stres padahal dari zaman kuda susah banget nurunin kilo doang daku senyum perih url,2
422,anger,"[USERNAME] [USERNAME] Ini baru yg katanya heboh gmana gaberner n wklnya,gmana tuh kok nggak dibenerin emangnya zaman kolonial..rusaklah negara eson",22,username username ini baru yg kata heboh gmana gaberner n wklnya gmana tuh kok nggak dibenerin emang zaman kolonial rusak negara eson,0
423,happy,"So yeah, setelah empat tahun, akhirnya kami bareng-bareng menerbitkan buku kumpulan cerpen sendiri. Judulnya #TSYGMC. Buku ini diterbitkan oleh [USERNAME] dalam format fisik dan e-book. #WorkshopCerpenKompas2014 [URL]",29,so yeah telah empat tahun akhir kami bareng bareng terbit buku kumpul cerpen sendiri judul tsygmc buku ini terbit oleh username dalam format fisik dan e book workshopcerpenkompas2014 url,1
424,anger,Seharian tadi Surabaya Macet !!! Lampu merah dibikin yg baru ( Samping Bank Mega Darmo dan di depan KFC Darmo ) malah makin macet bukanya tambah lancar... #Curcol #Surabaya #SurabayaMacet,27,hari tadi surabaya macet lampu merah bikin yg baru samping bank mega darmo dan di depan kfc darmo malah makin macet buka tambah lancar curcol surabaya surabayamacet,0
425,anger,"Ah mudik kok dilarang lewat toll.. dasar tolloll.. kalau lewat ngutang wajar,,,kita bayar kok BONG. Lagian kalau kaga boleh lewat,tiap pintu toll kasih dah tulisan, TOLL khusus CEBONG dan KACUNG.. nanti kita baru sadar..",36,ah mudik kok larang lewat toll dasar tolloll kalau lewat ngutang wajar kita bayar kok bong lagi kalau kaga boleh lewat tiap pintu toll kasih dah tulis toll khusus cebong dan kacung nanti kita baru sadar,0
426,anger,"Bilangnya selo tapi disuruh kerja ogah2han nanti capek dll. Kalau kerja sudah lillah sm ikhlas, mau capek atau engga itu dipikir belakangan atau malah ga dipikir sama sekali. Toh nanti kita juga yg untung dpt pengalaman dan pembelajarannya",38,bilang selo tapi suruh kerja ogah2han nanti capek dll kalau kerja sudah lil sm ikhlas mau capek atau engga itu pikir belakang atau malah ga pikir sama sekali toh nanti kita juga yg untung dpt alam dan ajar,0
427,happy,duh sumpe ngakak hahaha jaman kalo ngetweet terus keliatan 'via blekberi' itu lo udah masuk kategori anak gaul tingkat international ya duh susah sih kalo knalpot dikasi nyawa mah begitu jadinya,31,duh sumpe ngakak hahaha jaman kalo ngetweet terus liat via blekberi itu lo udah masuk kategori anak gaul tingkat international ya duh susah sih kalo knalpot kasi nyawa mah begitu jadi,1
428,happy,"[USERNAME] [USERNAME] Terima kasih banget pak presidenku n kabinet dgn hsl kinerja yg mulia nkri tdk dipandang enteng,semoga ttp kita jaga n terjaga warsan tsb",26,username username terima kasih banget pak presiden n kabinet dgn hsl kerja yg mulia nkri tdk pandang enteng moga ttp kita jaga n jaga warsan tsb,1
429,happy,"Kemarin buku #TSYGMC ini sempat di-twit oleh Mas Agus Noor untuk tagar #bacabuku-nya. Seneng gitu liatnya, biarpun gue anak murtad dah sejuta tahun lamanya ga nulis fiksi  #WorkshopCerpenKompas2014 [URL]",31,kemarin buku tsygmc ini sempat di twit oleh mas agus noor untuk tagar bacabuku nya neng gitu liat biarpun gue anak murtad dah juta tahun lama ga nulis fiksi workshopcerpenkompas2014 url,1
430,sadness,"Aku kasihan sm Mama Hulk Ijo ini bah, membesarkan anak yg bahkan ngga punya nyali shg pake akun anonim. Badan besar otak kosong. [URL]",24,aku kasihan sm mama hulk ijo ini bah besar anak yg bahkan ngga punya nyali shg pake akun anonim badan besar otak kosong url,2
431,happy,"BGSD GUE NGAKAK MALEM2 NONTON INI, ANJIR SERIUS INI QALQALAHNYA MANTEP BANGET ASTAGAAAAAA RECEH BANGET GUAAAA [URL] via [USERNAME]",19,bgsd gue ngakak malem2 nonton ini anjir serius ini qalqalahnya mantep banget astagaaaaaa receh banget guaaaa url via username,1
432,anger,[USERNAME] Jasa pengiriman sangat tidak profesional!! Sampe kapanpun gak akan pake jasa pengiriman ini lagi.... menanggapi pengaduan lama! Awas aja paket sy yg nyasar krn petugas anda salah input sampe ilang berarti su Viralkan!,34,username jasa kirim sangat tidak profesional sampe kapan gak akan pake jasa kirim ini lagi tanggap adu lama awas aja paket sy yg nyasar krn tugas anda salah input sampe ilang arti su viralkan,0
433,sadness,Keinginanku utk membeli ini itu seketika terhenti krn 1 kalimat Emang punya duit? Cuma nyokap doang yg bisa ngomong gitu krn gmn ea kan beli pake uang jajan dari siapa ,30,ingin utk beli ini itu ketika henti krn 1 kalimat emang punya duit cuma nyokap doang yg bisa ngomong gitu krn gmn ea kan beli pake uang jajan dari siapa,2
434,sadness,"Iya aku baru ingat dia dulu pernah lelah menunggu aku yang menganggapnya hanya teman, dan saat ini aku yang lelah menunggumu untuk kembali memelukku lagi.",25,iya aku baru ingat dia dulu pernah lelah tunggu aku yang anggap hanya teman dan saat ini aku yang lelah tunggu untuk kembali peluk lagi,2
435,happy,"Bun, aku bantuin nempatin es buah ya... ""Tumben banget, ah pasti kamu mo ngisi paling banyak di gelas kamu kan."" ""Ehee... Bunda tau aja"" [URL]",25,bun aku bantuin nempatin es buah ya tumben banget ah pasti kamu mo ngisi paling banyak di gelas kamu kan ehee bunda tau aja url,1
436,anger,Bukan tipikal orang yang mesti dimaintain dengan chatting terus terusan sih aku tuh memang Males juga Cuma ya... When you got time please reply mine,25,bukan tipikal orang yang mesti dimaintain dengan chatting terus terus sih aku tuh memang males juga cuma ya when you got time please reply mine,0
437,anger,"lebay bgt sih masalah kygt doang sholat lo makanya makanya cerita, terbuka ama orang Y njing. kl solusinya kekgitu doang mah gaperlu dikasitau",23,lebay bgt sih masalah kygt doang sholat lo makanya makanya cerita buka ama orang y njing kl solusi kekgitu doang mah gaperlu dikasitau,0
438,sadness,"Apapun yg terjadi aku tdk boleh menjadi seorang yg selalu bersedih. Kalo memang mungkin bukan dia yg menginginkan mu, mungkin ada dia luar sna yg msih menginginkan mu.",28,apa yg jadi aku tdk boleh jadi orang yg selalu sedih kalo memang mungkin bukan dia yg ingin mu mungkin ada dia luar sna yg msih ingin mu,2
439,happy,"[USERNAME] [USERNAME] ""Terima kasih yah!!! Aku happy banget tadi. Meskipun aku sampai muntah tadi dan sempat kesedak tetapi aku happy banget..."" #sedooooottt",22,username username terima kasih yah aku happy banget tadi meski aku sampai muntah tadi dan sempat sedak tetapi aku happy banget sedooooottt,1
440,happy,"Jadi hampir seminggu nyari jam tanggan yang cocok di gue dan cocok di dia. Gue mau ini dia gamau, dia mau itu guenya gamau. Trus akhirnya dia selalu menyerah dengan pilihan gue huhu macii. trs dia pilih abu2 gue pilih hitam (warna gak couple gapapa) trus dia bilang 'yaudah hitam'",50,jadi hampir minggu nyari jam tanggan yang cocok di gue dan cocok di dia gue mau ini dia gamau dia mau itu gue gamau trus akhir dia selalu serah dengan pilih gue huhu macii trs dia pilih abu2 gue pilih hitam warna gak couple gapapa trus dia bilang yaudah hitam,1
441,anger,"Indonesia baik baik saja kok brisik amat ya Di kampung2 orang2 yang kalian ""jual"" susah, miskin, dan sejenisnya nyatanya biasa saja Masih pada merokok tak berubah... Tagarmu makan sendiri ya... HAHAHAAHA",31,indonesia baik baik saja kok brisik amat ya di kampung2 orang2 yang kalian jual susah miskin dan jenis nyata biasa saja masih pada rokok tak ubah tagar makan sendiri ya hahahaaha,0
442,anger,"supir bak hilux tolol, jalanan lebar bisabisanya ngelindes kaki w. Udah gt pas kaki gua kelindes malah bukannya mundur/maju cepet cepet kok malah hah hoh hah hoh. sakit tot. bodoh dipelihara, kucing tuh dipelihara",35,supir bak hilux tolol jalan lebar bisabisanya ngelindes kaki w udah gt pas kaki gua kelindes malah bukan mundur maju cepet cepet kok malah hah hoh hah hoh sakit tot bodoh pelihara kucing tuh pelihara,0
443,happy,"My favorite song in albums Terimakasih Nambawan, terimakasih Dynamic Duo, terimakasih GRAY oppa, terimakasih semuanya Lagunya membuatku mood booster untuk kerjain skripsishit #WannaOne #nowplaying [URL]",25,my favorite song in albums terimakasih nambawan terimakasih dynamic duo terimakasih gray oppa terimakasih semua lagu buat mood booster untuk kerjain skripsishit wannaone nowplaying url,1
